epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1531.21,0.97122,0.98091,1.13812,0.95409,0.97426,0.9896,0.77867,0.90738,1.0195,1.03935,0.000885523,0.000885523,0.000885523
43,1565.04,0.97603,0.92452,1.15439,0.95395,0.97535,0.99218,0.76243,0.89851,1.01232,1.02693,0.000880023,0.000880023,0.000880023
44,1601.91,0.97856,0.95827,1.15388,0.99433,0.93266,0.994,0.78475,0.85425,1.00549,1.03644,0.000874524,0.000874524,0.000874524
45,1640.42,0.95242,0.98977,1.14944,0.95913,0.99138,0.99464,0.77606,0.89036,0.99721,1.0582,0.000869024,0.000869024,0.000869024
46,1679.7,1.00534,0.95949,1.19181,0.96903,0.97566,0.99346,0.78391,0.93406,0.98979,1.12457,0.000863525,0.000863525,0.000863525
47,1720.75,1.04629,0.98819,1.18216,0.98163,0.96435,0.99464,0.78639,0.81556,0.94964,1.01272,0.000858025,0.000858025,0.000858025
48,1757.82,0.99972,0.92872,1.1667,0.94167,0.96668,0.99299,0.81331,0.80839,0.97812,0.99956,0.000852526,0.000852526,0.000852526
49,1796.68,0.97628,0.92509,1.12903,0.93784,0.95398,0.99005,0.81779,0.88463,1.05424,1.04908,0.000847026,0.000847026,0.000847026
50,1833.52,0.92529,0.88037,1.11577,0.9411,0.97637,0.99131,0.77419,0.86122,0.89927,1.03132,0.000841527,0.000841527,0.000841527
51,1870.3,0.99346,0.94195,1.15461,0.95268,0.98925,0.99124,0.79631,0.79778,0.85667,0.99098,0.000836027,0.000836027,0.000836027
52,1907.85,0.97917,0.92766,1.12742,0.9163,0.97465,0.99249,0.81409,0.79175,0.87005,0.99732,0.000830528,0.000830528,0.000830528
53,1943.97,0.85783,0.81007,1.07016,0.93919,0.97152,0.98949,0.82404,0.77393,0.83128,0.99297,0.000825029,0.000825029,0.000825029
54,1983.51,0.94936,0.83854,1.12072,0.97435,0.97293,0.99352,0.77885,0.87399,0.80005,1.02952,0.000819529,0.000819529,0.000819529
55,2020.92,0.85046,0.87727,1.0649,0.96688,0.96037,0.99335,0.79218,0.89112,0.84355,1.04274,0.00081403,0.00081403,0.00081403
56,2061.23,0.95758,0.85333,1.14205,0.92834,0.9605,0.98123,0.77795,0.88812,0.93105,1.08458,0.00080853,0.00080853,0.00080853
57,2096.24,0.92247,0.84743,1.12831,0.90335,0.95158,0.97237,0.76895,0.86639,0.96306,1.03725,0.000803031,0.000803031,0.000803031
58,2133.94,0.88309,0.81183,1.09893,0.88695,0.96951,0.98554,0.79327,0.83559,0.88718,1.02677,0.000797531,0.000797531,0.000797531
59,2169.13,0.89732,0.79524,1.10572,0.92139,0.9951,0.99077,0.79529,0.89323,0.95894,1.07477,0.000792032,0.000792032,0.000792032
60,2203.11,0.91746,0.86129,1.13797,0.98475,0.97613,0.99383,0.7983,0.99644,0.85317,1.11928,0.000786532,0.000786532,0.000786532
61,2241.7,0.9394,0.82137,1.14722,0.95876,0.99054,0.99464,0.82539,0.8993,0.76845,1.05092,0.000781033,0.000781033,0.000781033
62,2278.68,0.89361,0.81348,1.1131,0.95031,0.98596,0.99464,0.82131,0.82172,0.74539,1.00761,0.000775534,0.000775534,0.000775534
63,2315.94,0.87118,0.77404,1.07942,0.95242,0.97446,0.98994,0.82946,0.80223,0.74,0.98822,0.000770034,0.000770034,0.000770034
64,2348.65,0.88704,0.76294,1.10543,0.95458,0.98478,0.99046,0.82822,0.80115,0.71368,0.99494,0.000764535,0.000764535,0.000764535
65,2394.22,0.8814,0.76955,1.12507,0.96557,0.99201,0.995,0.82507,0.83243,0.72906,1.02277,0.000759035,0.000759035,0.000759035
66,2444.47,0.88487,0.75636,1.09285,0.92786,0.9898,0.98895,0.80375,0.88692,0.77332,1.03113,0.000753536,0.000753536,0.000753536
67,2494.86,0.93513,0.79706,1.12942,0.98481,0.99548,0.995,0.81008,0.8591,0.71284,1.03757,0.000748036,0.000748036,0.000748036
68,2543.38,0.85067,0.73295,1.07212,0.97433,0.99024,0.995,0.81673,0.86664,0.67676,1.03939,0.000742537,0.000742537,0.000742537
69,2592.5,0.89232,0.74873,1.12952,0.97492,0.98139,0.995,0.81178,0.8847,0.68956,1.04887,0.000737037,0.000737037,0.000737037
70,2640.71,0.83963,0.73476,1.07644,0.96079,0.98606,0.99464,0.79125,0.85528,0.68808,1.02492,0.000731538,0.000731538,0.000731538
71,2692.91,0.92075,0.79413,1.12148,0.97321,0.98284,0.99464,0.78237,0.87767,0.7015,1.06282,0.000726038,0.000726038,0.000726038
72,2741.84,0.88502,0.76273,1.08714,0.96195,0.99249,0.9943,0.80777,0.84435,0.70663,1.01013,0.000720539,0.000720539,0.000720539
73,2791.89,0.86465,0.732,1.08678,0.95199,0.99048,0.9943,0.79476,0.85258,0.71641,1.02224,0.00071504,0.00071504,0.00071504
74,2842.71,0.89104,0.7199,1.09489,0.963,0.98902,0.99254,0.79801,0.82713,0.71679,1.01658,0.00070954,0.00070954,0.00070954
75,2892.79,0.87463,0.7432,1.11547,0.96249,0.99222,0.99377,0.80176,0.78947,0.73636,1.0045,0.000704041,0.000704041,0.000704041
76,2941.2,0.86704,0.7299,1.09571,0.97517,0.97957,0.994,0.79605,0.82033,0.68903,1.00422,0.000698541,0.000698541,0.000698541
77,2990.61,0.8516,0.73088,1.10317,0.98864,0.97933,0.99464,0.7963,0.80252,0.6294,0.99026,0.000693042,0.000693042,0.000693042
78,3036.74,0.82321,0.72738,1.08618,0.94378,0.99264,0.99341,0.82334,0.79166,0.62064,0.98576,0.000687542,0.000687542,0.000687542
79,3080.59,0.7665,0.67384,1.04574,0.97772,0.9813,0.99464,0.81566,0.79721,0.61026,0.99101,0.000682043,0.000682043,0.000682043
80,3126.98,0.85048,0.68065,1.10162,0.96366,0.97631,0.99372,0.82944,0.80301,0.64134,0.97788,0.000676543,0.000676543,0.000676543
81,3172.35,0.85052,0.72598,1.0809,0.96776,0.98166,0.99322,0.83146,0.85666,0.64943,1.0252,0.000671044,0.000671044,0.000671044
82,3218.3,0.82468,0.68825,1.07374,0.98218,0.97244,0.99161,0.82509,0.89474,0.65348,1.06707,0.000665545,0.000665545,0.000665545
83,3264.66,0.86202,0.66822,1.10972,0.98095,0.97961,0.9926,0.83439,0.80749,0.59536,0.97438,0.000660045,0.000660045,0.000660045
84,3312.74,0.84139,0.6522,1.06389,0.97594,0.98095,0.99352,0.83992,0.74293,0.58175,0.95005,0.000654546,0.000654546,0.000654546
85,3360.02,0.7951,0.66172,1.07922,0.97705,0.98095,0.99418,0.83456,0.72563,0.58616,0.93942,0.000649046,0.000649046,0.000649046
86,3408.28,0.83307,0.655,1.06789,0.97486,0.97493,0.9943,0.8268,0.77039,0.5896,0.969,0.000643547,0.000643547,0.000643547
87,3458.2,0.8291,0.67136,1.08092,0.96738,0.97143,0.99335,0.81665,0.7889,0.61336,0.97483,0.000638047,0.000638047,0.000638047
88,3505.78,0.83453,0.63023,1.0893,0.96644,0.9505,0.99418,0.81808,0.78998,0.59142,0.97489,0.000632548,0.000632548,0.000632548
89,3553.03,0.84952,0.65394,1.09315,0.94732,0.98045,0.99327,0.81842,0.7803,0.58363,0.98489,0.000627048,0.000627048,0.000627048
90,3601.71,0.82558,0.65021,1.08722,0.95091,0.97861,0.99373,0.82883,0.82557,0.59443,1.02929,0.000621549,0.000621549,0.000621549
91,3649.64,0.81394,0.64928,1.0621,0.96472,0.99326,0.995,0.81568,0.85447,0.62393,1.04818,0.000616049,0.000616049,0.000616049
92,3698.45,0.84245,0.6299,1.10187,0.97688,0.98305,0.99464,0.81706,0.8655,0.5792,1.03172,0.00061055,0.00061055,0.00061055
93,3745.19,0.88796,0.69182,1.10499,0.96064,0.98348,0.99464,0.81462,0.83366,0.58141,1.02632,0.000605051,0.000605051,0.000605051
94,3791.96,0.76848,0.59949,1.02545,0.94658,0.98445,0.99383,0.80604,0.84156,0.62607,1.00943,0.000599551,0.000599551,0.000599551
95,3841.82,0.85892,0.66672,1.07671,0.97486,0.97592,0.99275,0.81205,0.83429,0.60568,1.01278,0.000594052,0.000594052,0.000594052
96,3889.74,0.7943,0.59622,1.07029,0.96039,0.99711,0.99343,0.83042,0.83002,0.55285,1.01307,0.000588552,0.000588552,0.000588552
97,3936.81,0.86481,0.64512,1.07086,0.96257,1,0.99418,0.83501,0.81704,0.53693,1.01078,0.000583053,0.000583053,0.000583053
98,3985.41,0.7955,0.61416,1.06297,0.97863,0.98827,0.99464,0.82251,0.80085,0.54162,0.98671,0.000577553,0.000577553,0.000577553
99,4032.01,0.78623,0.6364,1.0585,0.97104,0.99197,0.99464,0.84264,0.79532,0.5316,0.99555,0.000572054,0.000572054,0.000572054
100,4081.28,0.83244,0.61209,1.0799,0.96785,0.99301,0.99464,0.84381,0.76755,0.52838,0.96522,0.000566554,0.000566554,0.000566554
101,4128.04,0.76893,0.59343,1.02963,0.98314,0.98714,0.995,0.84142,0.77031,0.55208,0.95853,0.000561055,0.000561055,0.000561055
102,4174.84,0.79988,0.62003,1.06325,0.97434,0.99803,0.995,0.84165,0.77207,0.55114,0.98162,0.000555556,0.000555556,0.000555556
103,4223.04,0.77587,0.62647,1.05168,0.98581,0.99533,0.995,0.83517,0.78046,0.53103,1.00047,0.000550056,0.000550056,0.000550056
104,4272.9,0.8596,0.60111,1.08661,0.98663,0.99606,0.995,0.81208,0.82575,0.53687,1.0337,0.000544557,0.000544557,0.000544557
105,4321.13,0.77749,0.60725,1.03475,0.98228,0.9999,0.995,0.81168,0.85812,0.5314,1.0254,0.000539057,0.000539057,0.000539057
106,4367.99,0.78294,0.60458,1.0472,0.97293,1,0.995,0.81585,0.83269,0.51719,1.02612,0.000533558,0.000533558,0.000533558
107,4415.54,0.81442,0.59425,1.0329,0.97584,1,0.995,0.83724,0.79417,0.50914,1.01887,0.000528058,0.000528058,0.000528058
108,4464.15,0.79275,0.58816,1.07197,0.973,0.99734,0.99464,0.83402,0.82483,0.53611,1.01918,0.000522559,0.000522559,0.000522559
109,4511.82,0.8004,0.59449,1.05801,0.96896,1,0.99373,0.8248,0.81675,0.53396,0.99127,0.000517059,0.000517059,0.000517059
110,4559.36,0.72097,0.56087,1.00415,0.97362,0.99977,0.99373,0.82782,0.81446,0.52929,0.98713,0.00051156,0.00051156,0.00051156
111,4608.05,0.78633,0.61876,1.06691,0.97299,1,0.995,0.80702,0.81347,0.52486,0.98846,0.00050606,0.00050606,0.00050606
112,4659.2,0.80018,0.58166,1.04292,0.97356,0.99048,0.99464,0.82355,0.77058,0.50462,0.95835,0.000500561,0.000500561,0.000500561
113,4705.75,0.78031,0.56551,1.0352,0.97453,0.99212,0.99464,0.80209,0.78877,0.51386,0.95384,0.000495062,0.000495062,0.000495062
114,4753.81,0.77606,0.58411,1.04339,0.96649,0.99779,0.99418,0.82383,0.76851,0.52929,0.93564,0.000489562,0.000489562,0.000489562
115,4802.77,0.76452,0.59869,1.03753,0.96453,0.99613,0.99291,0.84353,0.73856,0.53311,0.93515,0.000484063,0.000484063,0.000484063
116,4849.04,0.787,0.60223,1.05803,0.97408,1,0.99291,0.84191,0.76963,0.55309,0.93704,0.000478563,0.000478563,0.000478563
117,4896.27,0.79512,0.5759,1.0257,0.97284,1,0.99291,0.83813,0.79279,0.58353,0.94264,0.000473064,0.000473064,0.000473064
118,4944.64,0.78638,0.57199,1.0664,0.96865,0.99674,0.995,0.83794,0.76793,0.5199,0.94174,0.000467564,0.000467564,0.000467564
119,4990.87,0.74458,0.57226,1.018,0.97048,0.99941,0.99464,0.84278,0.74392,0.5131,0.93413,0.000462065,0.000462065,0.000462065
120,5036.32,0.74031,0.55924,1.02068,0.98518,0.99071,0.995,0.82052,0.73933,0.51963,0.91764,0.000456565,0.000456565,0.000456565
121,5080.11,0.74827,0.55807,1.05185,0.9799,0.98621,0.995,0.81793,0.73536,0.51579,0.90631,0.000451066,0.000451066,0.000451066
122,5121.89,0.72745,0.57219,1.02081,0.98815,0.98345,0.9943,0.83156,0.76857,0.49866,0.93781,0.000445567,0.000445567,0.000445567
123,5165.35,0.76739,0.57093,1.04234,0.97638,0.99425,0.99464,0.82398,0.81568,0.49469,0.9922,0.000440067,0.000440067,0.000440067
124,5206.57,0.70045,0.5745,1.02057,0.96797,0.99773,0.9943,0.82071,0.81502,0.48783,1.02423,0.000434568,0.000434568,0.000434568
125,5245.2,0.75745,0.54159,1.02095,0.97519,1,0.995,0.8198,0.81288,0.48548,1.02905,0.000429068,0.000429068,0.000429068
126,5283.38,0.77594,0.56241,1.04735,0.97728,1,0.995,0.84198,0.80702,0.4712,1.03676,0.000423569,0.000423569,0.000423569
127,5320.31,0.72853,0.54284,0.99996,0.98884,1,0.995,0.82633,0.83873,0.48785,1.04542,0.000418069,0.000418069,0.000418069
128,5357.2,0.72359,0.52312,1.0062,0.98433,1,0.995,0.83582,0.84007,0.49911,1.02948,0.00041257,0.00041257,0.00041257
129,5395.68,0.76863,0.55635,1.0528,0.98037,1,0.995,0.83491,0.85775,0.5025,1.03121,0.00040707,0.00040707,0.00040707
130,5434.61,0.756,0.54749,1.03098,0.96909,0.9933,0.99373,0.8203,0.86297,0.49619,1.02989,0.000401571,0.000401571,0.000401571
131,5476.03,0.73318,0.57882,1.019,0.98219,0.97907,0.9943,0.82694,0.81755,0.49255,1.00584,0.000396071,0.000396071,0.000396071
132,5516.33,0.73972,0.54507,1.04414,0.96527,0.99122,0.99373,0.81965,0.79843,0.47892,0.99872,0.000390572,0.000390572,0.000390572
133,5558.44,0.7256,0.52264,1.00328,0.96877,0.99393,0.99327,0.81944,0.827,0.48545,1.00398,0.000385073,0.000385073,0.000385073
134,5599.75,0.70435,0.52879,0.99438,0.97008,1,0.99373,0.82761,0.82781,0.4811,0.99024,0.000379573,0.000379573,0.000379573
135,5642.32,0.70753,0.51947,1.00634,0.97322,0.99935,0.99418,0.83685,0.81546,0.47398,0.98687,0.000374074,0.000374074,0.000374074
