epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1927.29,0.67708,0.64757,0.76954,1.01758,0.8519,0.61575,0.72238,0.55688,0.85628,0.61684,0.72173,0.59842,0.82783,1.24121,1.54466,1.002,0.00123094,0.00123094,0.00123094
30,1987.16,0.63931,0.6614,0.72206,0.97123,0.62369,0.75879,0.78797,0.63515,0.61774,0.75199,0.785,0.64173,0.7605,0.84742,1.22916,0.88591,0.00122387,0.00122387,0.00122387
31,2046.23,0.6487,0.67484,0.72029,0.99434,0.81082,0.65767,0.78626,0.61109,0.82792,0.65869,0.79929,0.60681,0.79295,0.90454,1.19322,0.90306,0.00121679,0.00121679,0.00121679
32,2106.4,0.65768,0.65196,0.7127,1.00343,0.80885,0.70431,0.85451,0.68866,0.85702,0.67355,0.85343,0.64829,0.74253,0.94184,1.14659,0.87487,0.00120972,0.00120972,0.00120972
33,2167.97,0.61142,0.62756,0.7065,0.99801,0.76291,0.86631,0.8731,0.7093,0.7524,0.8527,0.86498,0.65776,0.77974,1.01688,1.06304,0.8943,0.00120265,0.00120265,0.00120265
34,2227.93,0.62666,0.62551,0.71704,0.9914,0.80481,0.83808,0.88091,0.6627,0.82221,0.83966,0.87803,0.66368,0.96228,1.04497,1.2296,1.06087,0.00119557,0.00119557,0.00119557
35,2285.63,0.59064,0.66421,0.66783,0.97513,0.72709,0.82563,0.86194,0.6278,0.74043,0.82368,0.85692,0.6107,0.91847,1.06364,1.34615,1.03149,0.0011885,0.0011885,0.0011885
36,2342.3,0.60222,0.65513,0.66694,0.9942,0.79165,0.73871,0.86029,0.63004,0.80409,0.74201,0.83741,0.63718,0.93234,1.06663,1.29405,0.99872,0.00118143,0.00118143,0.00118143
37,2401,0.6196,0.68817,0.67299,0.9861,0.72683,0.92254,0.93235,0.69964,0.89176,0.71294,0.87578,0.64339,0.8824,0.98155,1.09787,1.01711,0.00117435,0.00117435,0.00117435
38,2463.14,0.56174,0.62093,0.63314,0.95909,0.87383,0.89283,0.92247,0.72329,0.88107,0.90177,0.92958,0.70274,0.76376,0.98982,0.99033,0.89357,0.00116728,0.00116728,0.00116728
39,2524.97,0.60739,0.74401,0.65138,0.99457,0.85598,0.84623,0.88645,0.69907,0.88081,0.84277,0.87838,0.67978,0.73911,0.91671,0.99061,0.88965,0.00116021,0.00116021,0.00116021
40,2585.96,0.57928,0.58937,0.6223,0.97014,0.86998,0.84647,0.85537,0.68838,0.88109,0.85667,0.85409,0.69014,0.72918,0.97386,0.95204,0.87004,0.00115313,0.00115313,0.00115313
41,2649.79,0.62436,0.71751,0.64238,0.99647,0.91995,0.84741,0.88457,0.72095,0.91407,0.84041,0.87743,0.69473,0.72114,0.91292,0.92593,0.89158,0.00114606,0.00114606,0.00114606
