epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,7687.86,0.43091,0.43837,0.37227,0.91963,0.945,0.9297,0.96689,0.84008,0.95822,0.94019,0.97133,0.73994,0.56326,0.89579,0.53476,0.7646,0.000544806,0.000544806,0.000544806
127,7747.16,0.41955,0.4584,0.36845,0.90896,0.94307,0.93023,0.96615,0.83439,0.94965,0.93154,0.95741,0.71959,0.55529,0.87693,0.53223,0.75663,0.000537733,0.000537733,0.000537733
128,7805.99,0.44047,0.54033,0.37875,0.91009,0.93296,0.93174,0.9637,0.84076,0.94549,0.92956,0.96117,0.73692,0.56258,0.87834,0.54406,0.7512,0.000530659,0.000530659,0.000530659
129,7860.62,0.45132,0.5041,0.37454,0.92356,0.94244,0.93502,0.96499,0.8392,0.95341,0.94207,0.965,0.72533,0.5452,0.89012,0.53241,0.73564,0.000523586,0.000523586,0.000523586
130,7911.73,0.44215,0.50509,0.402,0.91278,0.94884,0.93479,0.96899,0.80316,0.95265,0.93674,0.96025,0.70294,0.56719,0.91511,0.54084,0.73989,0.000516512,0.000516512,0.000516512
131,7964.9,0.41482,0.46107,0.37405,0.89211,0.92704,0.91683,0.96368,0.82383,0.93885,0.92893,0.96887,0.70878,0.54718,0.83298,0.54412,0.74686,0.000509438,0.000509438,0.000509438
132,8019.3,0.39545,0.48357,0.35742,0.90399,0.90822,0.93331,0.96533,0.83102,0.92293,0.92089,0.95669,0.73655,0.55764,0.88126,0.52835,0.75466,0.000502365,0.000502365,0.000502365
133,8072.56,0.42237,0.47328,0.36823,0.91598,0.91133,0.94833,0.96665,0.84467,0.9407,0.91327,0.95911,0.73598,0.55584,0.91293,0.50235,0.75086,0.000495291,0.000495291,0.000495291
134,8126.52,0.4307,0.48025,0.3802,0.89004,0.92925,0.93387,0.96627,0.84605,0.92932,0.96702,0.97457,0.74646,0.5534,0.88597,0.49253,0.74451,0.000488218,0.000488218,0.000488218
135,8180.03,0.42191,0.51419,0.37903,0.89773,0.95541,0.92089,0.96665,0.84709,0.94796,0.93663,0.9606,0.71984,0.56114,0.87363,0.51078,0.74946,0.000481144,0.000481144,0.000481144
136,8241.23,0.42022,0.44144,0.36724,0.90638,0.96406,0.91746,0.96682,0.84461,0.93964,0.91749,0.95516,0.75986,0.55933,0.86165,0.51794,0.75382,0.000474071,0.000474071,0.000474071
137,8297.36,0.41998,0.43906,0.35158,0.90878,0.9521,0.92243,0.969,0.83554,0.937,0.90684,0.95168,0.73969,0.57022,0.82194,0.51752,0.7637,0.000466997,0.000466997,0.000466997
138,8352.64,0.41261,0.52202,0.36233,0.90096,0.87995,0.96128,0.96451,0.82004,0.89592,0.91157,0.94145,0.73382,0.59339,0.84789,0.54731,0.7778,0.000459924,0.000459924,0.000459924
139,8407.9,0.41266,0.47192,0.34769,0.90813,0.90857,0.94834,0.96887,0.83057,0.91344,0.91375,0.95259,0.74204,0.56928,0.87605,0.5246,0.76524,0.00045285,0.00045285,0.00045285
140,8461.5,0.41728,0.50961,0.38111,0.89437,0.91795,0.95013,0.9713,0.83215,0.92448,0.94665,0.96339,0.76725,0.55272,0.92353,0.50201,0.74772,0.000445777,0.000445777,0.000445777
141,8513.75,0.40332,0.48192,0.35307,0.90991,0.92111,0.94668,0.97041,0.83897,0.92239,0.94612,0.96204,0.74378,0.55135,0.88862,0.49821,0.74533,0.000438703,0.000438703,0.000438703
142,8569.6,0.41018,0.49483,0.35668,0.89078,0.93514,0.95418,0.96924,0.82535,0.95609,0.88274,0.9372,0.7283,0.55884,0.85965,0.51055,0.7466,0.000431629,0.000431629,0.000431629
143,8628.53,0.42526,0.49539,0.36467,0.91554,0.94811,0.94962,0.97057,0.83256,0.96498,0.88197,0.94637,0.74645,0.5546,0.8303,0.51547,0.7453,0.000424556,0.000424556,0.000424556
144,8687.39,0.41647,0.49988,0.37075,0.90949,0.94899,0.94181,0.96634,0.83945,0.97558,0.93448,0.96789,0.74072,0.56768,0.87584,0.52864,0.74965,0.000417482,0.000417482,0.000417482
145,8747.93,0.39678,0.45669,0.34208,0.89477,0.94541,0.93449,0.96937,0.83762,0.97765,0.92983,0.96797,0.73979,0.56477,0.88562,0.52501,0.75068,0.000410409,0.000410409,0.000410409
146,8800.76,0.41398,0.46907,0.35379,0.89439,0.97152,0.92089,0.96953,0.84733,0.93565,0.95199,0.96988,0.73429,0.52374,0.8884,0.48727,0.73086,0.000403335,0.000403335,0.000403335
147,8855.6,0.42137,0.42072,0.36097,0.91894,0.95821,0.9413,0.96858,0.84301,0.94415,0.93057,0.96893,0.72866,0.52665,0.87801,0.48073,0.73093,0.000396262,0.000396262,0.000396262
148,8910.95,0.3886,0.50374,0.34225,0.89023,0.94708,0.9413,0.96888,0.83441,0.93963,0.93471,0.96753,0.75317,0.53392,0.90072,0.495,0.73345,0.000389188,0.000389188,0.000389188
149,8964.55,0.37852,0.44994,0.33315,0.88924,0.93652,0.94082,0.96859,0.82755,0.93157,0.93974,0.96742,0.74455,0.55,0.91681,0.51733,0.7378,0.000382115,0.000382115,0.000382115
150,9023.2,0.40395,0.4614,0.33847,0.89007,0.95654,0.90933,0.96726,0.82905,0.92289,0.95504,0.96764,0.73927,0.56054,0.89498,0.51179,0.74454,0.000375041,0.000375041,0.000375041
151,9075.65,0.40588,0.47617,0.34503,0.89263,0.92899,0.96044,0.97013,0.83806,0.93745,0.95715,0.96368,0.73469,0.55804,0.91418,0.50852,0.7524,0.000367967,0.000367967,0.000367967
152,9128.15,0.42455,0.51637,0.35151,0.91556,0.94685,0.94496,0.96946,0.83716,0.96121,0.95454,0.96657,0.72557,0.54473,0.9334,0.49231,0.74752,0.000360894,0.000360894,0.000360894
153,9184.53,0.38419,0.45517,0.34576,0.88751,0.94112,0.93837,0.97021,0.84372,0.93271,0.92483,0.9599,0.73476,0.53759,0.9056,0.49595,0.74319,0.00035382,0.00035382,0.00035382
154,9244.92,0.37654,0.42802,0.32778,0.8885,0.94704,0.9397,0.96919,0.84114,0.9397,0.92081,0.95865,0.74658,0.52555,0.87763,0.48803,0.74259,0.000346747,0.000346747,0.000346747
155,9298.45,0.40789,0.4746,0.34343,0.90153,0.92927,0.95987,0.97215,0.83074,0.95646,0.90613,0.96085,0.75319,0.54515,0.87538,0.49562,0.74609,0.000339673,0.000339673,0.000339673
156,9349.61,0.41445,0.5112,0.36112,0.9121,0.92395,0.95766,0.97291,0.83113,0.97219,0.90552,0.95177,0.7402,0.53606,0.8863,0.49287,0.74491,0.0003326,0.0003326,0.0003326
157,9402.75,0.40243,0.45138,0.34459,0.8989,0.96892,0.91123,0.97124,0.82977,0.96586,0.90718,0.95082,0.73786,0.54082,0.88042,0.49005,0.75026,0.000325526,0.000325526,0.000325526
158,9460.09,0.39923,0.45864,0.33957,0.89871,0.94762,0.93789,0.97013,0.8375,0.96349,0.90854,0.95584,0.75754,0.52415,0.87697,0.47647,0.74541,0.000318453,0.000318453,0.000318453
159,9513.97,0.39719,0.44461,0.34046,0.89899,0.97631,0.92854,0.97176,0.84237,0.96901,0.92004,0.95682,0.78762,0.53756,0.92416,0.47704,0.75476,0.000311379,0.000311379,0.000311379
160,9568.64,0.42039,0.50666,0.35426,0.91443,0.97155,0.92506,0.9716,0.83548,0.9497,0.93109,0.95267,0.75805,0.55307,0.89807,0.4972,0.76763,0.000304306,0.000304306,0.000304306
161,9624.16,0.41084,0.4815,0.34242,0.89686,0.9779,0.92612,0.97294,0.82688,0.94593,0.93109,0.9535,0.7586,0.55107,0.87897,0.50542,0.76571,0.000297232,0.000297232,0.000297232
162,9679.25,0.37854,0.45919,0.32489,0.88761,0.94675,0.94258,0.97374,0.82766,0.96909,0.92603,0.96664,0.72301,0.54121,0.89387,0.49475,0.74944,0.000290158,0.000290158,0.000290158
163,9738.59,0.4022,0.49326,0.33491,0.90064,0.95859,0.92601,0.97215,0.82465,0.9578,0.91194,0.95023,0.71529,0.54621,0.89538,0.49003,0.73806,0.000283085,0.000283085,0.000283085
164,9793.12,0.38106,0.44525,0.33216,0.883,0.96029,0.91875,0.96799,0.8269,0.96397,0.91534,0.94113,0.71883,0.54924,0.85232,0.50252,0.73273,0.000276011,0.000276011,0.000276011
165,9851.82,0.37157,0.41218,0.31437,0.8853,0.93429,0.93501,0.96641,0.82663,0.95879,0.91534,0.94933,0.72053,0.55061,0.85012,0.49295,0.72965,0.000268938,0.000268938,0.000268938
166,9905.24,0.37948,0.42214,0.32779,0.89663,0.95368,0.92552,0.96343,0.8309,0.95364,0.91875,0.95156,0.74707,0.53807,0.86414,0.47707,0.72642,0.000261864,0.000261864,0.000261864
167,9957.55,0.38712,0.43932,0.31672,0.88609,0.95137,0.94506,0.96324,0.84268,0.94244,0.91883,0.94276,0.75097,0.51287,0.84086,0.48415,0.71222,0.000254791,0.000254791,0.000254791
168,10010.5,0.38031,0.4299,0.31857,0.88646,0.95141,0.92831,0.96154,0.84361,0.94251,0.91114,0.94378,0.74695,0.51771,0.81003,0.48899,0.71798,0.000247717,0.000247717,0.000247717
169,10063.8,0.37,0.47805,0.31589,0.89862,0.94403,0.9351,0.964,0.84565,0.94132,0.91923,0.94508,0.76482,0.52604,0.81674,0.49212,0.72549,0.000240644,0.000240644,0.000240644
170,10119,0.37964,0.47711,0.31593,0.8897,0.94759,0.93169,0.964,0.83202,0.94057,0.92489,0.94323,0.7873,0.52905,0.85144,0.48524,0.72301,0.00023357,0.00023357,0.00023357
171,10173.1,0.39418,0.45143,0.32754,0.88734,0.95755,0.92215,0.9639,0.84455,0.95755,0.92215,0.95727,0.75002,0.49475,0.8608,0.4617,0.70641,0.000226497,0.000226497,0.000226497
172,10227.9,0.37546,0.44961,0.30464,0.89282,0.96287,0.92555,0.96806,0.85726,0.95548,0.91875,0.95963,0.74472,0.48527,0.85764,0.45529,0.70162,0.000219423,0.000219423,0.000219423
173,10280.9,0.38973,0.46547,0.32314,0.88725,0.96,0.92555,0.96885,0.85433,0.95263,0.91875,0.95652,0.74326,0.49727,0.86214,0.44714,0.70178,0.000212349,0.000212349,0.000212349
174,10334.3,0.38023,0.46135,0.31072,0.89973,0.95945,0.92044,0.96925,0.8623,0.95202,0.91357,0.95129,0.74708,0.49534,0.85661,0.44,0.70212,0.000205276,0.000205276,0.000205276
175,10391.4,0.36986,0.44276,0.30942,0.90238,0.95128,0.93169,0.97141,0.85781,0.95189,0.91741,0.9532,0.73675,0.50055,0.86482,0.45153,0.70352,0.000198202,0.000198202,0.000198202
176,10447.4,0.39088,0.53989,0.31972,0.89807,0.93638,0.93942,0.96867,0.84729,0.95707,0.91194,0.95293,0.74963,0.5129,0.86846,0.46477,0.70586,0.000191129,0.000191129,0.000191129
177,10502.4,0.40774,0.47663,0.32761,0.89487,0.93212,0.93971,0.96822,0.84619,0.95131,0.9063,0.95251,0.74022,0.5081,0.85633,0.46803,0.70765,0.000184055,0.000184055,0.000184055
178,10557.2,0.38979,0.44415,0.31532,0.88602,0.94743,0.9194,0.96756,0.86109,0.94743,0.9194,0.95887,0.7435,0.49085,0.83159,0.46102,0.70409,0.000176982,0.000176982,0.000176982
179,10611.5,0.37953,0.51303,0.32034,0.88895,0.94992,0.93046,0.97201,0.855,0.94757,0.95024,0.96334,0.75972,0.49326,0.82971,0.46446,0.70744,0.000169908,0.000169908,0.000169908
180,10667,0.38249,0.48722,0.31647,0.89321,0.944,0.93121,0.96905,0.84999,0.9529,0.94009,0.96214,0.75381,0.49988,0.84455,0.47247,0.70915,0.000162835,0.000162835,0.000162835
181,10717.3,0.34048,0.39982,0.29663,0.88577,0.94306,0.93022,0.96838,0.84946,0.93944,0.92682,0.95909,0.74126,0.49867,0.85214,0.47502,0.70693,0.000155761,0.000155761,0.000155761
182,10761.1,0.38139,0.4622,0.32045,0.90353,0.94603,0.93595,0.9707,0.85843,0.94163,0.90966,0.95715,0.74098,0.49165,0.84414,0.47381,0.70525,0.000148687,0.000148687,0.000148687
183,10804.2,0.37207,0.45453,0.31517,0.89388,0.94602,0.93487,0.97105,0.86347,0.90709,0.86687,0.94478,0.73999,0.49531,0.84777,0.48559,0.70825,0.000141614,0.000141614,0.000141614
184,10846.7,0.37317,0.46006,0.30871,0.88408,0.9282,0.959,0.97154,0.85957,0.96214,0.92265,0.96322,0.75409,0.50032,0.87165,0.47684,0.70671,0.00013454,0.00013454,0.00013454
185,10889.7,0.39531,0.47463,0.31737,0.89658,0.92703,0.96134,0.97159,0.84986,0.96182,0.92089,0.96058,0.77003,0.50049,0.90056,0.47562,0.70281,0.000127467,0.000127467,0.000127467
186,10932.4,0.344,0.43207,0.29125,0.88856,0.92869,0.96159,0.96528,0.84519,0.95593,0.92089,0.95492,0.75821,0.49898,0.93847,0.47607,0.69994,0.000120393,0.000120393,0.000120393
187,10977.5,0.37726,0.43384,0.31373,0.90677,0.9279,0.95778,0.96506,0.85818,0.95472,0.92089,0.95412,0.73466,0.49657,0.93396,0.47632,0.70139,0.00011332,0.00011332,0.00011332
188,11022.7,0.36456,0.44258,0.31102,0.89156,0.93485,0.95404,0.96513,0.86071,0.96224,0.92089,0.96385,0.74709,0.49634,0.91284,0.48323,0.70137,0.000106246,0.000106246,0.000106246
189,11066,0.37048,0.46717,0.30022,0.88914,0.93263,0.94669,0.96971,0.85975,0.96635,0.91749,0.9638,0.73443,0.49821,0.89908,0.48667,0.70146,9.91726e-05,9.91726e-05,9.91726e-05
190,11107.8,0.33334,0.41648,0.28053,0.88018,0.96628,0.9295,0.97075,0.86193,0.97165,0.92681,0.95412,0.7379,0.49083,0.89561,0.48198,0.70021,9.20991e-05,9.20991e-05,9.20991e-05
191,11148.7,0.37661,0.48619,0.42033,0.92255,0.96059,0.93745,0.96988,0.8621,0.96779,0.93521,0.95426,0.73582,0.483,0.89327,0.47689,0.69715,8.50255e-05,8.50255e-05,8.50255e-05
192,11194.5,0.34619,0.42063,0.34546,0.90177,0.95738,0.93789,0.96951,0.86793,0.96751,0.94125,0.95743,0.73974,0.47502,0.88941,0.46458,0.69017,7.7952e-05,7.7952e-05,7.7952e-05
193,11236.5,0.33753,0.44381,0.31436,0.91037,0.9558,0.93789,0.96936,0.86926,0.96045,0.94344,0.95701,0.74042,0.47194,0.8853,0.46501,0.68767,7.08784e-05,7.08784e-05,7.08784e-05
194,11280.1,0.34391,0.43233,0.30921,0.90088,0.97432,0.93077,0.96992,0.86765,0.96075,0.93785,0.95638,0.75508,0.47397,0.87712,0.46454,0.68852,6.38049e-05,6.38049e-05,6.38049e-05
195,11322.6,0.33037,0.4567,0.30688,0.88006,0.97098,0.92807,0.96995,0.86709,0.96543,0.92081,0.9544,0.7647,0.47888,0.8755,0.46406,0.69023,5.67313e-05,5.67313e-05,5.67313e-05
196,11367.1,0.32804,0.4879,0.29942,0.87468,0.9725,0.92642,0.96967,0.86523,0.96546,0.91948,0.95484,0.76907,0.47638,0.87425,0.45198,0.68904,4.96578e-05,4.96578e-05,4.96578e-05
197,11410.6,0.32843,0.42585,0.3046,0.90071,0.97091,0.926,0.96954,0.87444,0.96666,0.91839,0.95924,0.77625,0.47673,0.87682,0.45299,0.69027,4.25842e-05,4.25842e-05,4.25842e-05
198,11453.7,0.31149,0.42673,0.2928,0.87816,0.97253,0.9252,0.96982,0.86848,0.96952,0.91783,0.95969,0.77476,0.4747,0.87475,0.45503,0.6908,3.55107e-05,3.55107e-05,3.55107e-05
199,11494.8,0.3202,0.39786,0.29265,0.89423,0.97394,0.92296,0.96991,0.87402,0.97348,0.91744,0.95976,0.77317,0.47425,0.87129,0.45489,0.69113,2.84371e-05,2.84371e-05,2.84371e-05
200,11540,0.31281,0.42896,0.29229,0.88476,0.97307,0.92366,0.96946,0.87272,0.97042,0.91768,0.95985,0.76665,0.47361,0.86687,0.45499,0.69174,2.13636e-05,2.13636e-05,2.13636e-05
